,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT14,month,day,year,TMAX72,diff_from72avg,daynum
0,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1950,,,,,0.0,0.0,0.0,32.0,15.0,26.0,,,,,,,,,,1,1,1950,28.591549295774648,3.408450704225352,1
1,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1951,,,,,0.0,0.0,8.0,30.0,10.0,14.0,,,,,,,,,,1,1,1951,28.591549295774648,1.408450704225352,1
2,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1952,,,,,0.0,0.0,10.0,43.0,34.0,40.0,1.0,,,,,,,,,1,1,1952,28.591549295774648,14.408450704225352,1
3,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1953,,,,,0.0,0.0,6.0,28.0,5.0,13.0,,,,,,,,,,1,1,1953,28.591549295774648,-0.591549295774648,1
4,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1954,,,,,0.05,1.2,2.0,18.0,-1.0,16.0,,,,,,,,,,1,1,1954,28.591549295774648,-10.591549295774648,1
5,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1955,,,,,0.0,0.0,2.0,31.0,13.0,23.0,,,,,,,,,,1,1,1955,28.591549295774648,2.408450704225352,1
6,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1956,,,,,0.0,0.0,1.0,10.0,-14.0,0.0,,,,,,,,,,1,1,1956,28.591549295774648,-18.591549295774648,1
7,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1957,,,,,0.0,0.0,13.0,13.0,-11.0,-3.0,,,,,,,,,,1,1,1957,28.591549295774648,-15.591549295774648,1
8,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1958,,,,,0.36,0.0,0.0,38.0,32.0,35.0,,,,,,,,,,1,1,1958,28.591549295774648,9.408450704225352,1
9,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1959,,,,,0.0,0.0,6.0,25.0,1.0,25.0,,,,,,,,,,1,1,1959,28.591549295774648,-3.591549295774648,1
10,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1960,,,,,0.0,0.0,11.0,24.0,-3.0,8.0,,,,,,,,,,1,1,1960,28.591549295774648,-4.591549295774648,1
11,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1961,,,,,0.84,8.0,18.0,33.0,24.0,28.0,,,,,,,,,,1,1,1961,28.591549295774648,4.408450704225352,1
12,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1962,,,,,0.0,0.0,12.0,30.0,12.0,13.0,,,,,,,,,,1,1,1962,28.591549295774648,1.408450704225352,1
13,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1963,,,,,0.0,0.0,13.0,10.0,-1.0,6.0,,,,,,,,,,1,1,1963,28.591549295774648,-18.591549295774648,1
14,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1964,,,,,0.11,2.5,8.0,6.0,-16.0,6.0,,,1.0,,,,,,,1,1,1964,28.591549295774648,-22.591549295774648,1
15,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1965,,,,,0.0,0.0,8.0,23.0,8.0,8.0,,,,,,,,,,1,1,1965,28.591549295774648,-5.591549295774648,1
16,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1966,,,,,0.0,0.0,0.0,55.0,40.0,40.0,,,,,,,,,,1,1,1966,28.591549295774648,26.408450704225352,1
17,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1967,,,,,0.01,0.5,14.0,27.0,7.0,25.0,,,,,,,,,,1,1,1967,28.591549295774648,-1.591549295774648,1
18,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1968,,,,,0.12,2.0,16.0,20.0,-8.0,-7.0,,,,,,,,,,1,1,1968,28.591549295774648,-8.591549295774648,1
19,USC00273850,"HANOVER, NH US",43.7052,-72.2855,178.0,1/1/1969,,,,,0.11,2.5,18.0,22.0,6.0,9.0,,,,,,,,,,1,1,1969,28.591549295774648,-6.591549295774648,1
