,pres,year,presnum,pres_year
218,Washington,1791,1,Washington 1791
219,Washington,1792,1,Washington 1792
220,Washington,1793,1,Washington 1793
221,Washington,1794,1,Washington 1794
222,Washington,1795,1,Washington 1795
223,Washington,1796,1,Washington 1796
0,Adams,1797,2,Adams 1797
1,Adams,1798,2,Adams 1798
2,Adams,1799,2,Adams 1799
3,Adams,1800,2,Adams 1800
105,Jefferson,1801,3,Jefferson 1801
106,Jefferson,1802,3,Jefferson 1802
107,Jefferson,1803,3,Jefferson 1803
108,Jefferson,1804,3,Jefferson 1804
109,Jefferson,1805,3,Jefferson 1805
110,Jefferson,1806,3,Jefferson 1806
111,Jefferson,1807,3,Jefferson 1807
112,Jefferson,1808,3,Jefferson 1808
129,Madison,1809,4,Madison 1809
130,Madison,1810,4,Madison 1810
131,Madison,1811,4,Madison 1811
132,Madison,1812,4,Madison 1812
133,Madison,1813,4,Madison 1813
134,Madison,1814,4,Madison 1814
135,Madison,1815,4,Madison 1815
136,Madison,1816,4,Madison 1816
141,Monroe,1817,5,Monroe 1817
142,Monroe,1818,5,Monroe 1818
143,Monroe,1819,5,Monroe 1819
144,Monroe,1820,5,Monroe 1820
145,Monroe,1821,5,Monroe 1821
146,Monroe,1822,5,Monroe 1822
147,Monroe,1823,5,Monroe 1823
148,Monroe,1824,5,Monroe 1824
4,Adams,1825,6,Adams 1825
5,Adams,1826,6,Adams 1826
6,Adams,1827,6,Adams 1827
7,Adams,1828,6,Adams 1828
97,Jackson,1829,7,Jackson 1829
98,Jackson,1830,7,Jackson 1830
99,Jackson,1831,7,Jackson 1831
100,Jackson,1832,7,Jackson 1832
101,Jackson,1833,7,Jackson 1833
102,Jackson,1834,7,Jackson 1834
103,Jackson,1835,7,Jackson 1835
104,Jackson,1836,7,Jackson 1836
19,Buren,1837,8,Buren 1837
20,Buren,1838,8,Buren 1838
21,Buren,1839,8,Buren 1839
22,Buren,1840,8,Buren 1840
214,Tyler,1841,9,Tyler 1841
215,Tyler,1842,9,Tyler 1842
216,Tyler,1843,9,Tyler 1843
